,line_number,label,start,end,text
0,1,R,3317,4609,"Morty, you got to come on."
1,2,R,4693,6152,You got to come with me.
2,3,M,6237,7070,What's going on?
3,4,R,7154,8071,"I got a surprise for you, Morty."
4,5,M,8155,8947,It's the middle of the night.
5,6,R,9031,10740,I got a surprise for you.
6,7,M,10824,11741,Ow!
7,8,M,11825,13618,Ow! You're tugging me too hard.
8,9,M,13702,14619,"I got a surprise for you, Morty."
9,10,R,17665,19207,What do you what do you
10,11,R,19291,21209,"think of this flying vehicle, Morty?"
11,12,R,21293,22877,I built it out of stuff I found in the garage.
12,13,M,22962,24337,"Yeah, Rick, it's... it's great."
13,14,M,24421,25505,Is this the surprise?
14,15,R,25589,27674,"Morty, I had to... I had to do..."
15,16,R,27758,29342,I had to... I had to...
16,17,R,29426,30343,"I had to make a bomb, Morty."
17,18,R,30427,31344,I had to create a bomb.
18,19,M,31428,32345,What?A bomb?!
19,20,R,32429,33680,We're gonna drop it down there...
20,21,R,33764,34639,"Just get a whole fresh start, Morty."
21,22,R,34723,36224,Create a whole fresh start.
22,23,M,36308,37392,T-t-that's absolutely crazy!
23,24,R,37476,38518,"Come on, Morty. Just take it easy, Morty."
24,25,R,38602,40061,It's gonna be good.
25,26,R,40145,42063,"Right now, we're gonna go pick up your little friend Jessica."
26,27,M,42147,43147,Jessica?
27,28,M,43232,44357,From my math class?
28,29,R,44441,46234,"When I drop the bomb, I don't..."
29,30,R,46318,47860,"You know, I want you to have somebody,"
30,31,R,47945,49779,you know... I want you to have the thing...
31,32,R,49863,51114,"I'm gonna make it like a new Adam and Eve,"
32,33,R,51198,52198,and you're gonna be Adam.
33,34,R,53409,55952,"And Jessica's gonna be Eve, and so that's the surprise, Morty."
34,35,M,56036,57120,"No, you can't!"
35,36,M,57204,58538,J-Jessica doesn't even know I exist.
36,37,M,58622,59789,"But... but... but forget about that,"
37,38,M,59873,61416,because you can't blow up humanity.
38,39,R,61500,62959,"I-I get what you're trying to say, M-Morty."
39,40,R,63043,64586,"Listen, I'm not... you don't..."
40,41,R,64670,66796,y-y-you don't got to worry about me trying to fool around with...
41,42,R,66880,68881,with Jessica or mess around with Jessica or anything.
42,43,R,68966,70300,"I'm... I'm not that kind of guy, Morty."
43,44,M,70384,71676,"What are you talking about, Rick?"
44,45,R,71760,73261,You... you... you don't have to worry about me getting
45,46,R,73345,74554,with Jessica or anything.
46,47,R,74638,77056,"She... she... she... she... she's all for you, Morty."
47,48,M,77141,79225,I don't care about Jessica!
48,49,R,79310,80435,"You know what, Morty? You're right."
49,50,R,80519,82103,Let's forget the girl all together.
50,51,R,82187,83688,"She... she's probably nothing but trouble, anyways."
51,52,,83772,85189,Arming Neutrino bomb.
52,53,M,85274,86107,"That's it... That's it, Rick."
53,54,M,86191,86983,I'm taking the wheel.
54,55,R,87067,88234,"Get off of me, Morty!"
55,56,M,88319,89694,"I'm taking charge of this situation, buddy."
56,57,R,89778,90987,What's gotten into you?
57,58,M,91071,92405,I'm... I'm... I'm...
58,59,M,92489,94782,I'm not gonna stand around like some sort of dumb...
59,60,R,94867,96117,"What are you, crazy?"
60,61,M,96201,97577,you blow up the whole world.
61,62,R,97661,98494,"All right, all right."
62,63,R,98579,99912,I'll... I'll land.
63,64,R,99997,100830,I'll land. I'll land.
64,65,R,100914,102707,I'll land the thing.
65,66,R,102791,104208,Big tough guy all of a sudden.
66,67,R,107963,109130,"We'll park it right here, Morty."
67,68,R,109214,110465,Right here on the s-side of the r-road here.
68,69,R,110549,111424,"Oh, thank God."
69,70,R,111508,112383,You know what?
70,71,R,112468,114177,"That was all a test, Morty."
71,72,R,114261,117221,Just an elaborate test to make you more assertive.
72,73,M,117306,118181,It was?
73,74,R,118265,119223,Sure. Why not?
74,75,R,119308,120308,I don't... I don't know.
75,76,R,120392,121267,"You... you know what, Mo..."
76,77,,122519,123811,Neutrino bomb armed.
77,78,M,124938,126064,Um...
78,79,,160849,164143,I see there's a new episode of that singing show tonight.
79,80,,164228,167021,Who do you guys think is gonna be the best singer?
80,81,,167106,168231,"Oh, my God. His head is in his food."
81,82,,168315,169232,I'm going to puke.
82,83,,169316,170733,"Morty, are you getting sick?"
